"CODE","CODES INCOMPATIBLES"
4084,
9905,
9910,
9914,
9915,
9916,
9917,
9918,
9919,
9920,
9921,
9922,
9923,
9924,
9925,
9926,
9105,
9106,
9005,
9001,"9002-9004"
9004,9001
9107,
4,
5,
6,
7,
8,
12,
13,
14,
15,
16,
17,
18,"7886-7887"
23,
24,4127
25,
21,
22,
40,41
41,40
901,902
902,901
906,
907,
903,"904-905"
904,"903-905"
905,"903-904"
59,"60-61-70-75-5205"
60,"59-61"
61,"59-60"
62,
54,
63,
64,
65,
66,
67,
68,
70,59
71,
72,
73,
74,
75,59
76,
77,
78,
79,
80,
81,
1101,"1105-1106"
1102,
1103,
1104,"1105-1106-1107-1128-2108"
1105,"1101-1104-1106"
1106,"1101-1104-1105"
1107,"1001-1104-1128"
2108,1104
1109,
1110,
1111,
1112,
1113,
1114,
1115,
1116,
1117,
1118,
1119,
1120,
1124,
1122,
1123,
2109,
1011,
192,
1013,
1128,"126-127-1104-1107-1127"
126,"127-1001-1128"
127,"126-1001-1128"
1127,1128
174,
1014,
1015,
1016,1032
1017,1032
1032,"1016-1017"
178,
179,
180,
181,
173,
1018,
1019,
182,
1020,
1021,1022
1022,1021
175,
186,185
1024,
189,
188,
190,
1025,
1026,
191,
1027,
1028,
1029,"1030-1031"
1030,"1029-1031"
1031,"1029-1030"
1140,
1145,
1146,
1141,
1131,
1149,
1150,
1151,
1152,
1153,
1154,
1155,
1156,
160,
161,
162,
163,
164,
165,
5201,"219-221"
5202,
5203,
5204,
5205,59
5207,"4205-4206-4266-4267"
5209,
5210,
5230,
5231,
5213,
5226,
5218,
5214,
5215,
5224,
5216,
5222,
5223,
5225,
5229,
5219,5221
5221,5219
214,
215,
218,
219,"220-221-5201"
220,"219-221"
221,"219-220-5201"
5291,
5292,
236,
237,
238,
239,
5249,
5233,
5234,
5235,
240,
241,
242,
1241,
1242,
243,4101
244,4101
5284,
250,
5253,
252,"255-280"
253,
280,"252-255"
254,
255,"252-280"
256,
257,
286,"259-287-288"
287,286
259,"262-286-288"
288,"259-262-286"
289,
290,
262,"259-288"
263,
264,
266,
267,
268,
1125,
1126,
269,
270,
271,
5278,
5279,
5280,
5290,
281,
274,
5293,
5294,
277,
1200,"1201-1202-1203-1204-1205"
1201,"1200-1203-1204-1205"
1202,"1200-1203-1204-1205"
1203,"1200-1201-1202-1204-1205"
1204,"1200-1201-1202-1203"
1205,"1200-1201-1202-1203"
966,
967,
968,
969,
823,
1451,
1452,
1453,
1454,1455
1554,1555
1455,1454
1555,1554
1456,
1457,
1458,
1459,
1460,
1461,
1462,
1463,
1827,
1180,
1181,
1183,
1465,"1466-1469-1470"
1466,1465
1467,1468
1468,1467
1469,1465
1470,1465
1471,
1472,
1473,
1828,
1829,
1830,
1831,
1478,
1479,
1480,
1481,1800
1800,1481
1482,
7890,
1483,1484
1484,1483
1485,"1486-1487"
1486,"1485-1487"
1487,"1485-1486"
1488,
1489,
1490,
1491,
1492,
1493,
1494,
1495,
1496,
1497,
1498,
1301,3301
1302,
1305,3305
1308,"1307-3307-3308"
3308,"1307-1308-3307"
1309,"1307-3307-3309"
3309,"1307-1309-3307"
1310,3310
3310,1310
1311,3311
3311,1311
1336,
1337,3337
3337,1337
1313,"1246-3246-3313"
3313,"1246-1313-3246"
1246,"1313-3246-3313"
3246,"1246-1313-3313"
1247,3247
3247,1247
1316,3316
1248,3248
3248,1248
1249,3249
3249,1249
1317,3317
1318,3318
3318,1318
1319,3319
1323,1324
1324,1323
1326,1327
1327,1326
1250,
1330,
1251,
1331,3331
1252,3252
3252,1252
1332,
1333,3333
1334,"1335-3334-3335"
1335,"1334-3334-3335"
4301,6301
4302,4303
4303,4302
6301,4301
4304,
4305,4306
4306,4305
4307,6307
4308,
4309,
4310,
4311,
6307,4307
4312,"4313-6312"
4313,"4312-6312"
4314,
4315,
4316,
4317,
6312,"4312-4313"
4318,
4319,6319
6319,4319
4321,6321
4322,4323
4323,4322
6321,4321
4324,6324
4325,"4326-4327"
4326,"4325-4327"
4327,"4325-4326"
6324,4324
4328,6328
4329,"4330-4331"
4330,"4329-4331"
4331,"4329-4330"
6328,4328
4332,6332
4333,"4334-4335"
4334,"4333-4335"
4335,"4333-4334"
6332,4332
4336,
4337,
4338,
4339,
4340,6340
4341,"4342-4343"
4342,"4341-4343"
4343,"4341-4342"
6340,4340
4344,6344
4345,
6344,4344
4347,6347
4348,
6347,4347
4349,6349
4350,
6349,4349
4351,6351
4352,
6351,4351
4353,
4354,
4355,6355
4356,4357
4357,4356
6355,4355
4358,6358
4359,
6358,4358
